host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5
20735.579483097,1883140105,1,1684,2,0,248413,,-39,63,,,,,,,,,,,,,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20735.740509865,3904378998,3,2,1,0,56,80.72787000128301,-34,63,,,,,,,,,,,,,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20735.842458151,3904378998,6,6,1,0,8,33.120158997917315,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20735.942533665,3904378998,9,7,1,0,26,99.91548199832323,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.042398675,3904378998,12,12,1,0,9,32.926168001722544,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.142646441,3904378998,15,15,1,0,11,33.06234899719129,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.242396402,3904378998,18,18,1,0,8,33.13440300189541,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.342376095,3904378998,21,21,1,0,9,33.17362300003879,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.44272533,3904378998,24,24,1,0,3,33.44894200199633,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.542448076,3904378998,27,27,1,0,7,32.92900900123641,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.642378234,3904378998,30,30,1,0,7,33.02620999966166,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.742530839,3904378998,33,33,1,0,7,33.07474499888485,-34,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.842555999,3904378998,36,36,1,0,7,32.923452999966685,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20736.942363126,3904378998,39,39,1,0,9,32.786554998892825,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.042644097,3904378998,42,42,1,0,7,33.14809199946467,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.142445315,3904378998,45,45,1,0,7,32.79052699872409,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.242442929,3904378998,48,46,1,0,24,99.83782700146548,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.342450927,3904378998,51,51,1,0,7,32.926138999755494,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.44249653,3904378998,54,54,1,0,8,33.097187999374,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.542509811,3904378998,57,57,1,0,8,33.10779099774663,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.642586076,3904378998,60,60,1,0,8,33.16620099940337,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.742700776,3904378998,63,63,1,0,8,33.26507100064191,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.842566413,3904378998,66,66,1,0,10,33.23569799977122,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20737.942583373,3904378998,69,69,1,0,7,33.12095300134388,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
20738.04251866,3904378998,72,72,1,0,8,32.97100000054343,-38,63,2.5988700564971765,-98.17880794701986,98.6870897155361,57.75467775467774,-0.41514041514041367,2.4981631153563555,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977,0.13345632854605077,-1.8331070415233413,1.5201749607946704,1.5462526341887264,2.5939615123146194,-0.483203948183977
